home_team,away_team,home_points,away_points
Amherst College,Colby,16.0,19.0
Franklin Pierce,Assumption,17.0,21.0
Denison,Wabash College,28.0,24.0
Mount Union,Capital,76.0,0.0
Mount St. Joseph,Anderson (IN),77.0,14.0
Rose-Hulman,Bluffton,52.0,28.0
Hanover,Manchester,34.0,0.0
Defiance,Franklin,21.0,35.0
Hamilton,Williams,17.0,24.0
Glenville State,Wheeling Jesuit,27.0,13.0
South Carolina State,Tennessee Tech,7.0,28.0
Columbia,Pennsylvania,17.0,20.0
Gustavus Adolphus,Macalester,55.0,18.0
St. Scholastica,St. Olaf College,17.0,37.0
St. Norbert,Aurora,9.0,37.0
John Carroll,Ohio Northern,44.0,14.0
Washington & Lee,Ferrum,41.0,16.0
Wisconsin-Platteville,Wisconsin-La Crosse,17.0,21.0
UW-River Falls,UW-Whitewater,14.0,21.0
UW-Stout,Wisconsin-Stevens Point,51.0,14.0
Rhodes,Sewanee Univ. of the South,30.0,10.0
Minnesota State,Western Oregon,45.0,14.0
Southern Connecticut State,American International,21.0,27.0
Rockford,Benedictine (IL),7.0,19.0
Lakeland University,Concordia (IL),17.0,9.0
Illinois College,Knox College,61.0,7.0
Lawrence,Beloit College,14.0,34.0
North Park,Illinois Wesleyan,20.0,18.0
Carroll (WI),Elmhurst,62.0,14.0
Mary Hardin-Baylor,Sul Ross State,37.0,13.0
Nebraska Wesleyan University,Loras College,38.0,41.0
Albany State (GA),Allen,27.0,39.0
Austin Peay,Gardner-Webb,41.0,14.0
North Dakota,North Dakota State,49.0,24.0
Tusculum,UVA-Wise,35.0,7.0
William Jewell College,Quincy,28.0,41.0
South Dakota,Youngstown State,34.0,31.0
Tuskegee,Edward Waters,38.0,41.0
Buena Vista,Luther,17.0,10.0
Simpson College,Coe,0.0,28.0
Valparaiso,Morehead State,21.0,24.0
Fort Hays State,Nebraska-Kearney,31.0,17.0
Missouri Western,Northwest Missouri State,23.0,27.0
Emporia State,Washburn,38.0,23.0
Ball State,Toledo,6.0,13.0
Fort Lewis,Colorado Mesa,14.0,62.0
Colorado Mines,South Dakota Mines,45.0,22.0
New Mexico Highlands,Colorado State-Pueblo,7.0,56.0
Monmouth (IL),Cornell College (IA),43.0,6.0
Hope,Alma College,17.0,35.0
Charlotte,Navy,0.0,14.0
Bridgewater (VA),Randolph-Macon,3.0,38.0
Bowdoin,Bates College,35.0,20.0
Rowan,Christopher Newport,18.0,21.0
Huntingdon,Maryville TN,28.0,21.0
Westfield State,UMass Dartmouth,23.0,26.0
Augsburg,Bethel (MN),7.0,38.0
Concordia (MN),Hamline,58.0,14.0
Wooster,DePauw,7.0,53.0
St. Johns (MN),Carleton,63.0,7.0
Hardin-Simmons,Texas Lutheran,27.0,22.0
Bloomsburg,Lock Haven,13.0,21.0
Southwest Baptist,Missouri S&T,19.0,45.0
Fayetteville State,Livingstone,19.0,14.0
Virginia State,Bluefield,39.0,23.0
Case Western Reserve,Westminster PA,31.0,6.0
Lenoir-Rhyne,Barton College,47.0,3.0
Washington (MO),Augustana (IL),17.0,35.0
Millikin,North Central,3.0,75.0
Millersville,Shepherd,17.0,33.0
Minot State,Concordia-St. Paul,17.0,10.0
Indiana (PA),Edinboro,20.0,10.0
Lake Forest,Grinnell,47.0,0.0
Wilmington (OH),Marietta,15.0,45.0
UW-Oshkosh,Wisconsin-Eau Claire,35.0,7.0
Wartburg,Dubuque,31.0,10.0
Hartwick,St. John Fisher,21.0,38.0
Missouri Southern State,Pittsburg State,21.0,31.0
Bentley,Pace,27.0,9.0
Lane,Kentucky State,14.0,21.0
Wingate,Limestone,10.0,17.0
Southeast Missouri State,Eastern Illinois,35.0,28.0
South Dakota State,Northern Iowa,41.0,6.0
Murray State,Southern Illinois,6.0,27.0
Delaware,North Carolina A&T,21.0,6.0
Northern Colorado,Sacramento State,13.0,21.0
Eastern Kentucky,Tarleton State,41.0,35.0
Bethune-Cookman,Texas Southern,31.0,34.0
Grand Valley State,Ferris State,49.0,28.0
Adams State,Chadron State,14.0,53.0
Central Oklahoma,Lincoln (MO),59.0,17.0
Mississippi Valley State,Arkansas-Pine Bluff,42.0,17.0
Northwestern Oklahoma State,East Central,7.0,42.0
Jackson State,Alabama State,19.0,24.0
Grambling,Alabama A&M,24.0,45.0
Illinois State,Indiana State,44.0,7.0
Henderson State,Southern Arkansas,34.0,35.0
Arkansas Tech,Arkansas-Monticello,24.0,10.0
Winona State,Augustana (SD),28.0,48.0
Utah,California,34.0,14.0
Western State,Black Hills State,35.0,20.0
Southern Nazarene,Southeastern Oklahoma,19.0,20.0
Southwestern Oklahoma,Oklahoma Baptist,13.0,20.0
Chicago,Ripon,21.0,6.0
Birmingham-Southern,Hendrix College,16.0,15.0
Howard Payne,Austin College,35.0,11.0
Morehouse,Miles,22.0,36.0
Mississippi College,Valdosta State,10.0,21.0
Northeastern State,Central Missouri State,24.0,63.0
California (PA),Seton Hill College,41.0,14.0
Penn State,UMass,63.0,0.0
Buffalo,Bowling Green,14.0,24.0
Linfield,George Fox University,41.0,13.0
Western Michigan,Miami (OH),21.0,34.0
Oklahoma State,Kansas,39.0,32.0
Virginia Tech,Wake Forest,30.0,13.0
Central Michigan,Akron,17.0,10.0
Army,Troy,0.0,19.0
TCU,BYU,44.0,11.0
Tennessee,Texas A&M,20.0,13.0
East Tennessee State,Wofford,41.0,10.0
South Carolina,Florida,39.0,41.0
South Florida,Florida Atlantic,14.0,56.0
Stony Brook,Fordham,7.0,26.0
Washington,Oregon,36.0,33.0
Maryland,Illinois,24.0,27.0
Mercer,Chattanooga,10.0,22.0
Northern Arizona,Portland State,21.0,45.0
Abilene Christian,North Alabama,30.0,13.0
Allegheny,Grove City College,7.0,31.0
Bryant,Robert Morris,43.0,24.0
Southeastern Louisiana,Lamar,24.0,30.0
Western Illinois,Missouri State,7.0,48.0
Newberry,Catawba,38.0,31.0
Charleston Southern,Lindenwood,24.0,10.0
Willamette,Pacific Lutheran,7.0,62.0
Erskine,Carson-Newman,10.0,14.0
Whitworth,Puget Sound,63.0,21.0
Oberlin,Wittenberg,7.0,72.0
Wisconsin,Iowa,6.0,15.0
Northern Illinois,Ohio,23.0,13.0
Averett,Hampden-Sydney,28.0,31.0
Upper Iowa,McKendree,34.0,41.0
Lake Erie College,Tiffin,0.0,50.0
Southern,Lincoln University (CA),45.0,18.0
Heidelberg,Otterbein,28.0,8.0
Eureka College,Wisconsin Lutheran,14.0,42.0
Southwest Minnesota State,Northern State,17.0,24.0
West Alabama,West Florida,10.0,6.0
La Verne,Claremont,17.0,30.0
Nevada,UNLV,27.0,45.0
Central Arkansas,Stephen F. Austin,24.0,21.0
Incarnate Word,Texas A&M-Commerce,28.0,11.0
Idaho State,Eastern Washington,42.0,41.0
Tennessee State,Norfolk State,24.0,17.0
Wayne State (MI),Davenport,3.0,32.0
New Mexico,San José State,24.0,52.0
NC Wesleyan,Greensboro,34.0,28.0
Berry College,Millsaps,64.0,7.0
West Georgia,Chowan,35.0,24.0
Tufts,Wesleyan,49.0,14.0
Pittsburgh,Louisville,38.0,21.0
Georgia State,Marshall,41.0,24.0
Air Force,Wyoming,34.0,27.0
Wheaton College (Ill),Carthage,50.0,13.0
LSU,Auburn,48.0,18.0
Houston Christian,Prairie View,30.0,0.0
Pacific (OR),Lewis & Clark,35.0,51.0
Texas Tech,Kansas State,21.0,38.0
Washington State,Arizona,6.0,44.0
Texas State,Louisiana Monroe,21.0,20.0
Delta State,North Greenville,49.0,27.0
Harding,Ouachita Baptist,41.0,10.0
Northern Michigan,Michigan Tech,0.0,62.0
Muskingum,Baldwin-Wallace,22.0,34.0
University of Texas of the Permian Basin,Eastern New Mexico,52.0,29.0
Eastern University,Albright,21.0,9.0
Notre Dame,USC,48.0,20.0
North Carolina,Miami,41.0,31.0
Kentucky,Missouri,21.0,38.0
Duke,NC State,24.0,3.0
West Texas A&M,Western New Mexico,49.0,27.0
Oregon State,UCLA,36.0,24.0
UT San Antonio,UAB,41.0,20.0
Midwestern State,Central Washington,7.0,10.0
Weber State,UC Davis,16.0,17.0
Texas A&M-Kingsville,Angelo State,16.0,38.0
Montana State,Cal Poly,59.0,19.0
Colorado State,Boise State,31.0,30.0
Pomona-Pitzer,Chapman,0.0,21.0
Redlands,Cal Lutheran,20.0,10.0
Idaho,Montana,21.0,23.0
Hawai'i,San Diego State,34.0,41.0
Liberty,Middle Tennessee,42.0,35.0
South Alabama,Southern Mississippi,55.0,3.0
Jacksonville State,Western Kentucky,20.0,17.0
Sam Houston State,Florida International,27.0,33.0
UTEP,New Mexico State,7.0,28.0
Tulsa,Rice,10.0,42.0
Marshall,James Madison,9.0,20.0
West Virginia State,Frostburg State,14.0,28.0
Morgan State,North Carolina Central,10.0,16.0
Northwestern State,Southeastern Louisiana,20.0,37.0
Temple,SMU,0.0,55.0
Western Connecticut State,Mass Maritime,28.0,0.0
Ohio State,Penn State,20.0,12.0
Navy,Air Force,6.0,17.0
Greensboro,Huntingdon,8.0,56.0
American International,Bentley,12.0,62.0
Howard,Norfolk State,27.0,23.0
Indiana,Rutgers,14.0,31.0
Georgia Tech,Boston College,23.0,38.0
Wagner,Central Connecticut,3.0,17.0
Ohio,Western Michigan,20.0,17.0
Arkansas,Mississippi State,3.0,7.0
Yale,Pennsylvania,17.0,27.0
Cincinnati,Baylor,29.0,32.0
Long Island University,Merrimack,0.0,39.0
UAB,Memphis,21.0,45.0
Springfield,Salve Regina,31.0,21.0
Delaware State,South Carolina State,7.0,35.0
Stevenson,Misericordia,33.0,21.0
Dean College,Anna Maria College,20.0,52.0
Juniata,Moravian,13.0,44.0
St. John Fisher,SUNY Cortland,14.0,42.0
Albright,Widener,3.0,48.0
Shepherd,West Chester,59.0,21.0
Union,Hobart,27.0,10.0
Rochester,Ithaca,10.0,24.0
Plymouth State,Worcester State College,35.0,0.0
Nichols,Endicott College,0.0,48.0
NC Wesleyan,Southern Virginia,34.0,7.0
King's College (PA),Eastern University,28.0,18.0
Assumption,St. Anselm,0.0,14.0
Edinboro,Clarion,20.0,34.0
Alfred,Utica,0.0,28.0
Lawrence,Illinois College,0.0,72.0
FDU-Florham,Alvernia University,41.0,16.0
Oklahoma,UCF,31.0,29.0
Kenyon,Wabash College,18.0,67.0
Thomas More,Hillsdale,33.0,35.0
Belhaven College,Methodist,45.0,10.0
SUNY Maritime,MIT,28.0,35.0
Merchant Marine,Worcester Polytechnic,40.0,28.0
Otterbein,Baldwin-Wallace,0.0,24.0
WV Wesleyan,UNC Pembroke,0.0,56.0
Lock Haven,Kutztown,3.0,7.0
Curry,University of New England,13.0,19.0
Cornell,Brown,36.0,14.0
Presbyterian College,Marist,10.0,19.0
North Carolina A&T,Richmond,10.0,33.0
Stetson,St. Thomas (MN),6.0,38.0
Chattanooga,East Tennessee State,34.0,3.0
Dayton,Butler,10.0,37.0
Davidson,Valparaiso,42.0,21.0
Princeton,Harvard,21.0,14.0
Indiana State,South Dakota,3.0,17.0
Westminster,Minnesota-Morris,13.0,34.0
McDaniel College,Franklin & Marshall,17.0,27.0
Gallaudet,Alfred State College,38.0,24.0
Bluefield,Bowie State,11.0,40.0
Millsaps,Centre,20.0,59.0
Ohio Dominican,Northwood (MI),15.0,0.0
Keystone,Lycoming,7.0,34.0
Amherst College,Tufts,14.0,34.0
Franklin Pierce,Post University,13.0,16.0
William Paterson,Montclair State,13.0,14.0
Pace,Southern Connecticut State,23.0,25.0
Wheeling Jesuit,Alderson-Broaddus,0.0,0.0
Carson-Newman,Mars Hill,17.0,21.0
Morrisville State,Brockport State (NY),0.0,49.0
Randolph-Macon,Shenandoah,48.0,13.0
Greenville,Northwestern (MN),12.0,32.0
Ashland,Lake Erie College,31.0,19.0
Walsh,Findlay,0.0,23.0
Nebraska-Kearney,Missouri Western,17.0,20.0
Grove City College,St. Vincent,49.0,0.0
Glenville State,Concord,44.0,7.0
Charleston (WV),Fairmont State,30.0,33.0
Slippery Rock,California (PA),42.0,21.0
Shippensburg,Millersville,13.0,7.0
University of Mary,Davenport,34.0,44.0
Emory & Henry,Tusculum,27.0,24.0
Sul Ross State,Hardin-Simmons,7.0,55.0
Johns Hopkins,Ursinus,42.0,14.0
Western New England,Husson,10.0,9.0
Dickinson,Muhlenberg,21.0,42.0
Wesleyan,Bowdoin,35.0,30.0
Christopher Newport,Kean,34.0,10.0
Susquehanna,Wilkes,34.0,7.0
Delaware Valley,Lebanon Valley,21.0,17.0
Albion,Trine,28.0,35.0
Alma College,Kalamazoo,43.0,10.0
Rowan,Salisbury,20.0,35.0
Middlebury,Bates College,48.0,7.0
Colby,Hamilton,6.0,17.0
Hampden-Sydney,Washington & Lee,17.0,21.0
Maryville TN,LaGrange College,26.0,6.0
St Lawrence,Rensselaer,7.0,37.0
Virginia Union,Lincoln (PA),57.0,0.0
Northern Michigan,Grand Valley State,14.0,73.0
Michigan Tech,Ferris State,21.0,35.0
Stonehill,Sacred Heart,22.0,19.0
Hiram,Oberlin,27.0,19.0
Holy Cross,Lafayette,35.0,38.0
Bucknell,Lehigh,18.0,27.0
Duquesne,St Francis (PA),38.0,35.0
East Stroudsburg,Bloomsburg,21.0,16.0
Anderson (IN),Defiance,6.0,36.0
Dartmouth,Columbia,20.0,9.0
Capital,John Carroll,17.0,63.0
Williams,Trinity (CT),14.0,41.0
Bluffton,Manchester,50.0,12.0
Mount St. Joseph,Hanover,52.0,27.0
VMI,Samford,14.0,27.0
Winston-Salem,St. Augustine's,24.0,17.0
Franklin,Rose-Hulman,35.0,50.0
Wilmington (OH),Mount Union,0.0,69.0
Coast Guard,Norwich,52.0,17.0
Livingstone,Shaw,27.0,26.0
Saginaw Valley,Wayne State (MI),17.0,10.0
Quincy,Indianapolis,14.0,24.0
Youngstown State,Illinois State,41.0,38.0
McKendree,Missouri S&T,20.0,17.0
Southwest Minnesota State,Minnesota St-Moorhead,17.0,34.0
Bowling Green,Akron,41.0,14.0
Muskingum,Ohio Northern,17.0,27.0
Virginia State,Elizabeth City State,16.0,17.0
Ouachita Baptist,Arkansas Tech,31.0,24.0
Hampton,Delaware,3.0,47.0
Georgia Southern,Louisiana Monroe,38.0,28.0
Elmhurst,Millikin,29.0,27.0
Augustana (IL),North Park,42.0,28.0
Barton College,Wingate,24.0,38.0
Sioux Falls,Winona State,35.0,42.0
Grinnell,Knox College,7.0,14.0
Loras College,Wartburg,7.0,62.0
Fort Valley State,Morehouse,31.0,3.0
Carleton,St. Scholastica,42.0,21.0
Wittenberg,DePauw,35.0,41.0
McMurry,Howard Payne,45.0,21.0
Upper Iowa,Southwest Baptist,35.0,13.0
Wisconsin-La Crosse,UW-Oshkosh,31.0,28.0
Washburn,Fort Hays State,28.0,31.0
Austin College,Mary Hardin-Baylor,14.0,49.0
Clark Atlanta,Central State,21.0,48.0
Benedict College,Kentucky State,63.0,14.0
UVA-Wise,Erskine,34.0,23.0
South Dakota Mines,Fort Lewis,48.0,10.0
Chadron State,Colorado State-Pueblo,3.0,28.0
Minot State,Minnesota-Duluth,7.0,42.0
Augustana (SD),Minnesota State,28.0,10.0
Bemidji State,Concordia-St. Paul,38.0,3.0
Olivet College,Hope,7.0,45.0
Carroll (WI),Wheaton College (Ill),6.0,52.0
Carthage,Illinois Wesleyan,7.0,34.0
North Central,Washington (MO),49.0,3.0
Beloit College,Monmouth (IL),3.0,59.0
Ripon,Lake Forest,12.0,0.0
Concordia (IL),Eureka College,28.0,27.0
Crown College,Martin Luther College,3.0,13.0
Wisconsin-Eau Claire,Wisconsin-Platteville,14.0,47.0
St. Olaf College,Augsburg,36.0,56.0
Bethel (MN),Hamline,49.0,7.0
Concordia (MN),Macalester,49.0,8.0
Gustavus Adolphus,St. Johns (MN),38.0,35.0
Cornell College (IA),Chicago,47.0,34.0
Aurora,Wisconsin Lutheran,70.0,7.0
Concordia (WI),St. Norbert,7.0,13.0
Luther,Simpson College,14.0,56.0
Benedictine (IL),Lakeland University,31.0,6.0
East Carolina,Charlotte,7.0,10.0
Elon,Monmouth,28.0,26.0
Southwestern University,Trinity (TX),7.0,57.0
Averett,Bridgewater (VA),24.0,53.0
Central,Nebraska Wesleyan University,72.0,0.0
Case Western Reserve,Waynesburg,35.0,0.0
Wisconsin-Stevens Point,UW-River Falls,14.0,75.0
Sewanee Univ. of the South,Berry College,23.0,61.0
Central Missouri State,Emporia State,77.0,27.0
Western Carolina,Furman,17.0,29.0
Tennessee Tech,Southeast Missouri State,3.0,28.0
Fayetteville State,Johnson C Smith,14.0,7.0
Savannah State,Tuskegee,14.0,21.0
Eastern Illinois,Bryant,25.0,24.0
Western State,New Mexico Highlands,62.0,0.0
College of New Jersey,Gettysburg,30.0,13.0
Dubuque,Buena Vista,41.0,0.0
Southern Illinois,South Dakota State,10.0,17.0
UT Martin,Charleston Southern,17.0,0.0
Denison,Wooster,35.0,31.0
Georgetown,Colgate,18.0,28.0
Missouri State,Murray State,28.0,24.0
Marietta,Heidelberg,37.0,14.0
East Central,Southern Nazarene,13.0,27.0
Valdosta State,Shorter,42.0,14.0
Southern Arkansas,Harding,20.0,54.0
Arkansas-Pine Bluff,Alcorn State,7.0,31.0
Southeastern Oklahoma,Southwestern Oklahoma,32.0,13.0
Black Hills State,Colorado Mines,17.0,42.0
Lane,Virginia Lynchburg,42.0,45.0
Northwest Missouri State,Pittsburg State,7.0,28.0
Colorado Mesa,Adams State,42.0,7.0
Seton Hill College,Indiana (PA),35.0,28.0
UW-Whitewater,UW-Stout,37.0,20.0
Mercyhurst,Gannon,28.0,31.0
Lincoln (MO),Missouri Southern State,5.0,63.0
Truman State,William Jewell College,31.0,10.0
Mississippi Valley State,Jackson State,6.0,21.0
Arkansas-Monticello,Henderson State,14.0,42.0
Tennessee State,Lincoln University (CA),54.0,0.0
North Dakota State,Western Illinois,52.0,7.0
Albany,Rhode Island,35.0,10.0
Northern Illinois,Eastern Michigan,20.0,13.0
William & Mary,Towson,24.0,34.0
Oregon,Washington State,38.0,24.0
Stony Brook,New Hampshire,14.0,45.0
Wake Forest,Pittsburgh,21.0,17.0
Iowa,Minnesota,10.0,12.0
Kent State,Buffalo,6.0,24.0
Missouri,South Carolina,34.0,12.0
Illinois,Wisconsin,21.0,25.0
Alabama,Tennessee,34.0,20.0
Ferrum,Guilford,28.0,0.0
Tulane,North Texas,35.0,28.0
Ball State,Central Michigan,24.0,17.0
Connecticut,South Florida,21.0,24.0
Nebraska,Northwestern,17.0,9.0
West Virginia,Oklahoma State,34.0,48.0
Pacific Lutheran,Lewis & Clark,49.0,14.0
Tiffin,Kentucky Wesleyan,37.0,12.0
Delta State,West Florida,21.0,24.0
La Verne,Pomona-Pitzer,7.0,20.0
Whitworth,Pacific (OR),42.0,20.0
Claremont,Redlands,31.0,17.0
Newberry,Lenoir-Rhyne,10.0,24.0
UMass Dartmouth,Fitchburg State,42.0,7.0
Puget Sound,Linfield,6.0,55.0
Bridgewater State,Westfield State,21.0,0.0
Miami (OH),Toledo,17.0,21.0
Campbell,Maine,34.0,28.0
Houston,Texas,24.0,31.0
Mercer,Wofford,31.0,17.0
Portland State,Idaho State,24.0,38.0
Bethune-Cookman,Southern,18.0,28.0
Western Oregon,Midwestern State,6.0,33.0
Texas A&M-Commerce,Nicholls,7.0,27.0
Miles,Allen,28.0,21.0
Buffalo State,Hilbert College,44.0,12.0
Texas Lutheran,East Texas Baptist,6.0,16.0
Northern Iowa,North Dakota,27.0,0.0
West Liberty,Notre Dame College,35.0,40.0
San Diego,Drake,20.0,25.0
Stephen F. Austin,Abilene Christian,27.0,34.0
Florida Atlantic,UT San Antonio,10.0,36.0
New Mexico,Hawai'i,42.0,21.0
Gardner-Webb,Eastern Kentucky,35.0,32.0
West Georgia,North Greenville,38.0,14.0
Edward Waters,Albany State (GA),31.0,27.0
North Carolina,Virginia,27.0,31.0
Arkansas State,Coastal Carolina,17.0,27.0
Northeastern State,Central Oklahoma,21.0,37.0
Mississippi College,Chowan,38.0,21.0
Limestone,Catawba,27.0,16.0
Hendrix College,Rhodes,50.0,49.0
Geneva College,Bethany (WV),45.0,20.0
Carnegie Mellon,Washington & Jefferson,35.0,14.0
Westminster PA,Allegheny,27.0,17.0
Northern State,Wayne State (NE),28.0,26.0
Old Dominion,Appalachian State,28.0,21.0
Eastern Washington,Weber State,31.0,23.0
Tarleton State,Morehead State,42.0,0.0
North Alabama,Utah Tech,31.0,30.0
Angelo State,University of Texas of the Permian Basin,23.0,28.0
Auburn,Ole Miss,21.0,28.0
BYU,Texas Tech,27.0,14.0
Kansas State,TCU,41.0,3.0
UNLV,Colorado State,25.0,23.0
San José State,Utah State,42.0,21.0
Michigan State,Michigan,0.0,49.0
Florida State,Duke,38.0,20.0
LSU,Army,62.0,0.0
USC,Utah,32.0,34.0
Cal Poly,Northern Colorado,24.0,17.0
Texas Southern,Florida A&M,21.0,31.0
Southern Utah,Austin Peay,45.0,48.0
Miami,Clemson,28.0,20.0
Oklahoma Baptist,Northwestern Oklahoma State,28.0,7.0
McNeese,Incarnate Word,24.0,35.0
Louisiana,Georgia State,17.0,20.0
Eastern New Mexico,Texas A&M-Kingsville,14.0,35.0
Central Washington,West Texas A&M,30.0,14.0
San Diego State,Nevada,0.0,6.0
Chapman,Cal Lutheran,38.0,10.0
George Fox University,Willamette,63.0,10.0
Sacramento State,Montana State,30.0,42.0
Washington,Arizona State,15.0,7.0
Stanford,UCLA,7.0,42.0
Louisiana Tech,New Mexico State,24.0,27.0
Western Kentucky,Liberty,29.0,42.0
Florida International,Jacksonville State,16.0,41.0
Sam Houston State,UTEP,34.0,37.0
Lincoln (MO),Eastern New Mexico,17.0,62.0
Shorter,West Georgia,35.0,41.0
Southern Nazarene,Ouachita Baptist,28.0,49.0
Central Connecticut,Long Island University,23.0,24.0
North Carolina Central,South Carolina State,62.0,28.0
Georgia Southern,Georgia State,44.0,27.0
Virginia Tech,Syracuse,38.0,10.0
Pennsylvania,Brown,26.0,30.0
Charlotte,Florida Atlantic,16.0,38.0
Hilbert College,Lyon College,27.0,43.0
Tiffin,Walsh,40.0,13.0
Curry,Nichols,48.0,46.0
Delaware Valley,Stevenson,21.0,14.0
Westfield State,Plymouth State,19.0,20.0
Penn State,Indiana,33.0,24.0
Boston College,Connecticut,21.0,14.0
Northwestern,Maryland,33.0,27.0
Texas A&M,South Carolina,30.0,17.0
Army,UMass,14.0,21.0
Anna Maria College,Gallaudet,50.0,7.0
Keystone,Catholic University,14.0,26.0
Husson,Endicott College,13.0,23.0
Bridgewater State,UMass Dartmouth,14.0,34.0
Mass Maritime,Framingham State,3.0,28.0
St. John Fisher,Alfred,30.0,12.0
MIT,Norwich,29.0,26.0
Delaware State,Howard,10.0,17.0
Wagner,Stonehill,28.0,17.0
Rensselaer,Rochester,49.0,10.0
Limestone,Newberry,28.0,24.0
Seton Hill College,Edinboro,38.0,28.0
California (PA),Mercyhurst,58.0,19.0
Springfield,Merchant Marine,21.0,14.0
DePauw,Kenyon,58.0,7.0
Davenport,Saginaw Valley,24.0,21.0
Robert Morris,Tennessee Tech,13.0,38.0
Yale,Columbia,35.0,7.0
Notre Dame College,Wheeling Jesuit,28.0,25.0
Findlay,Ohio Dominican,24.0,3.0
Sacred Heart,Duquesne,0.0,27.0
Oberlin,Ohio Wesleyan,7.0,50.0
SMU,Tulsa,69.0,10.0
Kansas,Oklahoma,38.0,33.0
UCF,West Virginia,28.0,41.0
Wake Forest,Florida State,16.0,41.0
Kansas State,Houston,41.0,0.0
Wisconsin-La Crosse,Wisconsin-Eau Claire,59.0,14.0
Georgetown,Lafayette,25.0,35.0
Shenandoah,Averett,49.0,35.0
Chowan,West Alabama,6.0,14.0
St. Vincent,Westminster PA,20.0,22.0
Allegheny,Thiel College,27.0,3.0
Berry College,Hendrix College,53.0,6.0
Central State,Lane,17.0,14.0
Alma College,Olivet College,41.0,20.0
Fairmont State,West Virginia State,21.0,20.0
New Haven,Assumption,25.0,14.0
St. Anselm,Pace,16.0,23.0
Wayne State (NE),Augustana (SD),14.0,12.0
Minnesota-Duluth,Bemidji State,31.0,38.0
Concordia-St. Paul,Northern State,20.0,14.0
Minnesota St-Moorhead,Winona State,20.0,17.0
University of Mary,Minot State,27.0,23.0
Slippery Rock,Clarion,42.0,14.0
Erskine,Tusculum,14.0,52.0
University of New England,Western New England,7.0,42.0
Trinity (TX),Millsaps,63.0,0.0
Maryville TN,Belhaven College,20.0,7.0
Waynesburg,Geneva College,29.0,43.0
Grove City College,Bethany (WV),56.0,14.0
Worcester Polytechnic,Salve Regina,24.0,27.0
Widener,King's College (PA),31.0,14.0
Post University,Southern Connecticut State,14.0,35.0
Alderson-Broaddus,West Liberty,0.0,0.0
Rhode Island,New Hampshire,34.0,28.0
Drake,Stetson,33.0,7.0
William & Mary,Monmouth,31.0,28.0
Maine,Albany,21.0,37.0
Butler,Valparaiso,17.0,7.0
Cornell,Princeton,3.0,14.0
Illinois State,Northern Iowa,21.0,24.0
Fordham,Holy Cross,47.0,49.0
Colgate,Bucknell,34.0,49.0
St Francis (PA),Merrimack,28.0,21.0
Franklin & Marshall,Kean,40.0,14.0
Frostburg State,Charleston (WV),25.0,28.0
Eastern University,FDU-Florham,19.0,24.0
Gettysburg,Dickinson,25.0,28.0
Ursinus,McDaniel College,49.0,6.0
Wesleyan,Amherst College,34.0,7.0
Salisbury,College of New Jersey,27.0,36.0
Centre,Sewanee Univ. of the South,54.0,22.0
Guilford,Hampden-Sydney,21.0,42.0
Wabash College,Wittenberg,52.0,20.0
Kalamazoo,Hope,17.0,63.0
Lebanon Valley,Alvernia University,34.0,26.0
Moravian,Susquehanna,14.0,33.0
Southern Virginia,Greensboro,7.0,47.0
William Paterson,Christopher Newport,13.0,33.0
Mars Hill,UVA-Wise,49.0,18.0
Ferris State,American International,56.0,0.0
Ithaca,Buffalo State,62.0,0.0
Hobart,St Lawrence,35.0,0.0
Albany State (GA),Miles,48.0,7.0
Ashland,Thomas More,28.0,20.0
Randolph-Macon,Washington & Lee,35.0,12.0
Lock Haven,West Chester,27.0,42.0
Northern Michigan,Wayne State (MI),17.0,41.0
Shaw,Fayetteville State,14.0,21.0
Bluefield,Virginia Union,12.0,57.0
Bowie State,Elizabeth City State,19.0,7.0
Misericordia,Albright,38.0,9.0
Lycoming,Juniata,56.0,10.0
Hamilton,Tufts,36.0,34.0
Eastern Michigan,Western Michigan,21.0,45.0
Towson,Delaware,13.0,51.0
Westminster,Greenville,6.0,38.0
East Stroudsburg,Shippensburg,41.0,17.0
Anderson (IN),Bluffton,7.0,45.0
Baldwin-Wallace,Capital,59.0,35.0
Manchester,Defiance,27.0,51.0
John Carroll,Muskingum,42.0,13.0
Gardner-Webb,UT Martin,38.0,34.0
Heidelberg,Wilmington (OH),49.0,35.0
Mount Union,Otterbein,51.0,14.0
Mount St. Joseph,Franklin,55.0,0.0
VMI,Chattanooga,23.0,24.0
Missouri S&T,William Jewell College,57.0,20.0
Kutztown,Millersville,17.0,12.0
Tuskegee,Clark Atlanta,14.0,3.0
North Dakota,Indiana State,36.0,33.0
Chicago,Lawrence,55.0,12.0
Bloomsburg,Shepherd,14.0,10.0
Missouri Western,Northeastern State,44.0,0.0
Fort Lewis,Black Hills State,20.0,34.0
Norfolk State,Morgan State,28.0,32.0
Villanova,Stony Brook,48.0,13.0
Youngstown State,Missouri State,44.0,28.0
Hampton,North Carolina A&T,26.0,24.0
Johnson C Smith,Winston-Salem,35.0,31.0
Bentley,Franklin Pierce,12.0,10.0
Southwest Baptist,Truman State,20.0,17.0
Augsburg,Concordia (MN),10.0,30.0
North Greenville,Mississippi College,34.0,10.0
Virginia State,Lincoln (PA),75.0,25.0
Ohio Northern,Marietta,17.0,21.0
Wooster,Hiram,47.0,14.0
Minnesota-Morris,Crown College,56.0,23.0
